cluster,longitude,latitude,n_accidents
1,-0.8259907421875,53.80968917968751,128
2,-0.2714238348623853,54.0446825321101,109
3,-0.36169907364787074,53.75931871921753,869
4,-0.6456034456928837,53.591698224719124,267
5,-0.09171857440476192,53.5760808035714,336
